Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Beans Red Haricot (Wairimu),-,-,-,Nyeri open air,100.00/Kg,130.00/Kg,1800.00,Nyeri,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Chepterit Market - Nandi,125.00/Kg,130.00/Kg,250.00,Nandi,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,111.11/Kg,130.00/Kg,,Nairobi,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Akala,100.00/Kg,125.00/Kg,300.00,Siaya,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,,Nakuru,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Chaka,94.44/Kg,120.00/Kg,1600.00,Nyeri,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Cheptiret - Uasin Gishu,75.00/Kg,100.00/Kg,2000.00,Uasin-Gishu,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Embu Town,100.00/Kg,120.00/Kg,1800.00,Embu,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Mukuyu Market,100.00/Kg,130.00/Kg,,Muranga,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,1000.00,Kirinyaga,2022-07-27
Beans Red Haricot (Wairimu),-,-,-,Chepseon,80.00/Kg,90.00/Kg,4500.00,Kericho,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Cheptulu,102.00/Kg,125.00/Kg,900.00,Vihiga,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Wath Ong'er,68.00/Kg,80.00/Kg,2000.00,Migori,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Bondo,127.78/Kg,150.00/Kg,6000.00,Siaya,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Nyahururu Municipal Market,88.89/Kg,100.00/Kg,50000.00,Laikipia,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,111.11/Kg,130.00/Kg,,Nairobi,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Ololulung'a Market,72.00/Kg,80.00/Kg,4000.00,Narok,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Maua,88.89/Kg,120.00/Kg,2700.00,Meru,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,,Nakuru,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Kapsabet Market,96.00/Kg,112.00/Kg,3000.00,Nandi,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,1000.00,Nakuru,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Chuka,105.56/Kg,150.00/Kg,2700.00,Tharaka-Nithi,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Langas,110.00/Kg,130.00/Kg,800.00,Uasin-Gishu,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Athi River Open air Market,94.44/Kg,110.00/Kg,135.00,Machakos,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Kitengela,94.44/Kg,100.00/Kg,4500.00,Kajiado,2022-07-26
Beans Red Haricot (Wairimu),-,-,-,Diani Market,140.00/Kg,150.00/Kg,700.00,Kwale,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,94.44/Kg,110.00/Kg,,Nairobi,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Kaanwa,100.00/Kg,110.00/Kg,200.00,Tharaka-Nithi,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Daraja Mbili,60.00/Kg,88.00/Kg,1600.00,Kisii,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Aram,91.24/Kg,109.49/Kg,200.00,Siaya,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,1000.00,Nakuru,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,9900.00,Nakuru,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Kagio,94.44/Kg,120.00/Kg,,Kirinyaga,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Gakindu,100.00/Kg,104.17/Kg,1800.00,Nyeri,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Kutus,94.44/Kg,101.32/Kg,4500.00,Kirinyaga,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Marikiti,-,110.00/Kg,,Mombasa,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Eldama Ravine,90.00/Kg,100.00/Kg,250.00,Baringo,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Othaya,100.00/Kg,120.00/Kg,2880.00,Nyeri,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Kiritiri,125.00/Kg,150.00/Kg,2900.00,Embu,2022-07-25
Beans Red Haricot (Wairimu),-,-,-,Kasuku,100.00/Kg,120.00/Kg,45.00,Nyandarua,2022-07-24
Beans Red Haricot (Wairimu),-,-,-,Muhoroni,-,100.00/Kg,,Kisumu,2022-07-24
Beans Red Haricot (Wairimu),-,-,-,Suneka,-,125.00/Kg,,Kisii,2022-07-24
Beans Red Haricot (Wairimu),-,-,-,Kiminini - Kitale,100.00/Kg,125.00/Kg,200.00,Trans-Nzoia,2022-07-24
Beans Red Haricot (Wairimu),-,-,-,Kibuye,115.56/Kg,125.00/Kg,,Kisumu,2022-07-24
Beans Red Haricot (Wairimu),-,-,-,Lomut,150.00/Kg,140.00/Kg,15000.00,West-Pokot,2022-07-23
Beans Red Haricot (Wairimu),-,-,-,Athi River Open air Market,94.44/Kg,110.00/Kg,270.00,Machakos,2022-07-23
Beans Red Haricot (Wairimu),-,-,-,Embu Town,100.00/Kg,130.00/Kg,1800.00,Embu,2022-07-23
Beans Red Haricot (Wairimu),-,-,-,Akala,100.00/Kg,125.00/Kg,600.00,Siaya,2022-07-23
Beans Red Haricot (Wairimu),-,-,-,Diani Market,130.00/Kg,140.00/Kg,600.00,Kwale,2022-07-23
Beans Red Haricot (Wairimu),-,-,-,Bondo,127.78/Kg,135.00/Kg,7000.00,Siaya,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Keumbu,80.00/Kg,100.00/Kg,450.00,Kisii,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,97.78/Kg,120.00/Kg,,Nairobi,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Sondu- Kericho,95.00/Kg,110.00/Kg,90.00,Kericho,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Nyamakima,97.78/Kg,120.00/Kg,,Nairobi,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Gakindu,96.67/Kg,113.64/Kg,1800.00,Nyeri,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Ngurubani Market,100.00/Kg,130.00/Kg,800.00,Kirinyaga,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Nakuru Top Market,-,130.00/Kg,,Nakuru,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Nakuru Wakulima,88.89/Kg,95.00/Kg,1350.00,Nakuru,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Mumias,100.00/Kg,120.00/Kg,3500.00,Kakamega,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Kiserian crops market,75.00/Kg,80.00/Kg,1000.00,Kajiado,2022-07-22
Beans Red Haricot (Wairimu),-,-,-,Chuka,105.56/Kg,150.00/Kg,2700.00,Tharaka-Nithi,2022-07-22
