36,Joseph Masta,"The Kenya Kwanza administration's bold steps in the agriculture sector are bearing fruits. President Ruto's decision to subsidise the price of fertiliser led to a large increase in production especially in maize leading to a huge drop of 65% in maize imports,the lowest rate ever https://t.co/ICr9c0Mdj2",Thu Jan 09 16:04:52 +0000 2025,1,4
37,Kibet Benard,"Price Reassurance*
President William Ruto has reassured Kenyans that the cost of a 2kg bag of maize flour will not exceed KSh 230, alleviating concerns of soaring prices.
#RutoEmpowers 
Kenya Kwanza delivers 
.#KenyaniSisi https://t.co/mY2SDbi1sa",Sun Oct 22 15:02:58 +0000 2023,0,1
38,DJ KROWBAR,"Kenya is still importing maize based on GoK Data from Ministry of Agriculture.

PS: Granted, the importation has reduced by 56% but the price dropped marginally from KES 24.7 billion to KES 23.2 billion (6.4% reduction).

Kasongo yeye.... (Tunakuone 18) 
@MwauraIsaac1 @M_Chidzuga https://t.co/IvH5OIXS2u",Tue Dec 17 06:48:10 +0000 2024,4,5
39,Dr.Dennis Adison Ouma.,"-As I tweeted earlier, the price of Unga(Maize flour)has really reduced in Kenya.

-Reference;Moi Avenue Naivas supermaket ,on 25/11/2023(Today),Nairobi

-Pembe(149/=), Dola(149/=), Mama Maize(155/=).

-But the negativity bias kenya Media houses and negativity bias kenyans will https://t.co/zrsb5BCDmn",Sat Nov 25 15:01:36 +0000 2023,20,54
40,Dictator Watch,"After scamming the country of shs 1.6 Billions; he now plans to scam local maize farmers. The going price for 90kg sack starts from 6,000 shillings. Were Kenya a decent country he'd have long resigned &amp; in handcuffs https://t.co/O5B3ZHPc6f",Wed Nov 22 13:01:39 +0000 2023,7,11
41,Citizen TV Kenya,"@SamGituku: Fact check on the price of a gorogoro in Eldoret, Vihiga, Nairobi vs the price of a 90kg bag of maize

#NewsGang https://t.co/01jz2TpPhB",Thu Nov 09 20:36:43 +0000 2023,1,12
42,Linet Ida,"By securing 95 million bags of maize, Kenya shields families from hunger and price shocks. The path to sustainable food systems is clear.#ResultsYouCanFeel
Ruto Delivers https://t.co/PIWFXu0tNP",Fri Jan 17 07:07:06 +0000 2025,0,0
43,PAPA FATHELA,"The cost of living has been reduced significantly under President Ruto, with the price of a 2kg packet of maize flour dropping from 230/- to 100/-.Kenya You AskedFor 
#ThePresidentListened https://t.co/uNEbmxfVxf",Mon Jul 01 10:03:40 +0000 2024,1,0
44,Nicholas Gitobu Kiogora,"As a result of increased maize production in the last 28 months Visible Results show that maize price which is Kenya's Staple Food has fallen significantly gone down.This is largely attributed to Subsidized Fertilizer Program,an indication of 
The Plan Is Working,#RutoMchapakazi https://t.co/SG0DYh0whs",Thu Jan 09 14:07:22 +0000 2025,5,3
45,Toria_Vicky,"This is not another country, this is Kenya.
Yes the price of 2kg maize flour is ksh.99.
This is as a result of increased subsidies to farmers and reduced cost of fertilizer 
#KaziInafanyika
Vitu Kwa Ground
Ruto Delivers https://t.co/Enq607juue",Fri Nov 15 12:17:56 +0000 2024,1,0
46,Ⓝⓖ'ⓞⓡⓞⓡⓘⓔⓣ🐐🇰🇪,"So Kenya Seed Company has decided that Maize seeds price be increased by 42%.

This is pure oppression and exploitations of farmers. 
@SeroneiCheison @ArapTilingi @sabul_ian @Itskipchumba_b @bkkoskey @ChepkendiotMK https://t.co/XCsyAGfSsE",Sat Jul 20 05:25:46 +0000 2024,3,6
47,Consumers Federation of Kenya (COFEK),HAS THE price of unga (maize flour meal) reduced in your local supermarket and or shop? Please share your experience on how much the 2kg packet is retailing for #CofekCares https://t.co/vneHMRXIxw,Mon Apr 17 16:04:32 +0000 2023,1,2
48,VOA Africa,"NAIROBI - Kenya's President William Ruto announced on Friday that he would slash the price of maize flour, a key food staple, as anger over skyrocketing inflation fuels protests in the East African nation. https://t.co/zEmKIs13Dt",Fri Apr 14 15:26:10 +0000 2023,1,4
49,TUKO.co.ke | The Heartbeat of Kenya,"Agriculture CS Mithika Linturi promises that the price of unga will go below KSh 120 in the next 4-6 months. 

He said apart from the government subsidising production, they have also allowed the importation of duty-free maize. 

#tukonews #Kenya https://t.co/EZGIPM4Pyj",Thu Mar 16 10:07:07 +0000 2023,0,5
50,Wild🌹,"With 95 million bags of maize and other food stocks, Kenya is safeguarding its people from hunger and price shocks, ensuring a stable future for every household. 
#ResultsYouCanFeel
Ruto Delivers https://t.co/yggkub2MYE",Fri Jan 17 06:42:37 +0000 2025,5,2
51,Nyandarua's Finest,"Guys, you can pass by @KICC_kenya Kenya for #ChangamkaFest2023 and get to buy a wide variety of Products at a discounted price.

Some of the Products available 

1. Dr Mattress
2. Jamaa bar soap
3. Rice, maize flour, wheat flour, and all cereals.
4. Quality pants https://t.co/svGPyMhCMP",Wed Nov 01 09:46:12 +0000 2023,0,0
52,Kenyan Business,"Price of a 25 kg bag of maize flour.

Zambia - $10 (KShs 1,341)

DR Congo - $44 (KShs 5,902)

Kenya - $18.64 (KShs 2,500)",Sat Apr 22 10:49:20 +0000 2023,7,21
53,Julians Amboko,"Rwanda has waived Value Added Tax on maize flour &amp; rice &amp; gone ahead to prescribe price ceilings. Kenya went the route of waiving import duty on maize &amp; rice (until August 6th, 2023). Will be interesting to compare outcomes. https://t.co/jbQEHbWzVS",Thu Apr 20 20:41:20 +0000 2023,32,50
54,MwanzoTV,"The government of #Kenya has announced plans to purchase 1 million bags of locally produced maize, at an improved price of Ksh.4,000 per 90-kilogram bag, following a bumper harvest by farmers. https://t.co/56cIRenFI9",Fri Oct 13 08:00:00 +0000 2023,0,2
55,WISH FM KENYA,"KENYA:Maize #millers
Price of Unga to go Up,Again
This follows a warning by various millers in the country.“Some small scale millers have shut down, because they cannot afford to buy maize”United Grain Millers association.
Wewe
Safaricom
Raila
CITAM
DJ Fatxo
Kalenjins
Southafrica https://t.co/JJrD7kE8In",Sun Mar 12 05:12:41 +0000 2023,0,0
56,WISH FM KENYA,"KENYA
Unga Prices to Drop from Next Week, President Ruto pledges
President William Ruto Friday promised a reduction in the price of maize flour starting next week after the arrival of imported maize.
#NikujaribuTu
Samidoh
Winnie Odinga
Rooney
Malindi
Central Kenya https://t.co/KqMgF2TbWs",Fri Apr 14 22:58:02 +0000 2023,0,0
57,Dorine Igaga,"In the past year to July 2023, the price of dry maize increased by at least 23 percent. It was during this period that the price of maize flour in Kenya hit the highest level in history  https://t.co/C4daYcLvEA 
Soko-Directory https://t.co/RUDv01UAEa",Mon Sep 04 12:35:47 +0000 2023,0,0
58,Mwango Capital,"Tanzanian farmers are petitioning their MPs to remove restrictions on cereal exports to Kenya and Uganda after a dip in the price of maize in the country:

[@The_EastAfrican] https://t.co/jR8KslLXVV",Tue Jul 04 09:00:04 +0000 2023,10,18
59,NTV Kenya,"Govt to announce floor price of maize this week as Cereals Board re-opens
https://t.co/KQHQzlaSLa https://t.co/kYJE1XpffZ",Thu Oct 05 06:23:00 +0000 2023,5,36
60,PropesaTV,"The cost of producing 90kg bag of maize is 4,000 and the government is proudly buying the same 90kg at 3500. Farmers wanaumia https://t.co/71pL8kdOuT",Sat Nov 09 18:43:55 +0000 2024,829,2155
61,EATGN,"The government of #Kenya plans to remove VAT exemption on essential goods like maize flour, cooking gas, bread, medicine, and animal feeds. 

This is after pressure from the IMF to drop blanket reliefs on consumption, a move that could raise the price of essential goods. https://t.co/yk4vNAuMud",Thu Sep 14 10:48:32 +0000 2023,1,2
62,BOMA YETU,"The price of maize flour has also reduced from Ksh. 220 as of last year to Ksh. 110 in April 2024. #ThePlan 
It Is Working https://t.co/OfizfmZgHx",Tue Apr 16 03:16:28 +0000 2024,6,8
63,I ❤️ Kenya 🇰🇪,"Essential commodities like maize and fuel have seen price drops, easing the cost of living for Kenyans.
Numbers Don’t Lie
#ResultsAreSpeaking
System Ya Facts https://t.co/OgDFRBKQgu",Mon Nov 11 06:35:41 +0000 2024,0,0
64,La General.,"Kenya has been able to attain 95million of bags of maize and other food stocks achieving food security. As a result the price of maize has dropped, reducing the cost of living.

#ResultsYouCanFeel
Ruto Deliver https://t.co/HNHDXkV6ss",Fri Jan 10 08:00:43 +0000 2025,1,0
65,CLIMATE CHANGE OWNER🌳,"Citizen themselves can lower the price of maize flour ugali stable food in Kenya rather than complaining to leaders"" challenge farmers &amp; Companies that hike prices, cultivate idle lands make use of rains' harvest maize take to posho mill put Ugali on table common sense https://t.co/mPvOEytP6v",Sat Nov 11 07:01:58 +0000 2023,0,0
66,Silk Road Kenya,"WE MUST HAVE RICH FARMERS IN KENYA.

The government should not lower the price of MAIZE FLOOR, in fact it should be sold at Ksh. 500 &amp; above.

They can eat something else if they don't want.

IPOA Pauline Njoroge Sonko Kibicho Kisii Bianca Al Shabaab https://t.co/ZMKbpDZ562",Sun Jul 23 09:38:39 +0000 2023,1,2
67,Yours Truly 🇰🇪,"Fuel price reductions lower transportation costs, which in turn reduces the cost of goods and services. Similarly, maize price reductions are critical in Kenya, where maize is a staple food. 

Numbers Dont Lie 
#ResultsAreSpeaking 
System Ya Facts https://t.co/vPBzk1tkDl",Mon Nov 11 09:18:37 +0000 2024,2,1
68,"Robert ALAI, HSC",2KG Maize Flour in Uganda is 240. In Kenya it’s 209. https://t.co/23P5G2pm2Q,Mon Jun 27 12:37:50 +0000 2022,171,950
69,Jimmy Kings,"Forget about shareholders Shenanigans

Why are those who voted for Ruto/Gachagua suffering the most??

Maize in Rift Valley is being sold at a throw away price. Tea &amp; coffee in Mount kenya region is selling at a loss

The price of production has gone up.

Asante ya punda ni.... https://t.co/1sVnNipGQH",Mon Oct 02 06:53:48 +0000 2023,4,14
70,SHA'CCARI 🌹,President Ruto’s shift from consumption to production subsidies has reduced the price of maize flour by over 50%. BETA Plan Progress is leading Kenya’s agricultural revolution. #AgricultureUnderWSR https://t.co/vL8QlkqXOJ,Mon Sep 23 06:08:16 +0000 2024,1,0
71,The Africa Report,"Surging maize prices in the Democratic Republic of Congo (#DRC), #Kenya, #Tanzania, and #SouthSudan have created a lucrative trade for people to smuggle staple food out of #Zambia. By @Chiwoyu.
https://t.co/V5V3ggNYzq",Mon May 29 12:56:31 +0000 2023,7,7
72,Pulse Kenya,"Gov't pressured to set minimum prices of maize ahead of uptake of 1 million bags.

#PulseNews  
https://t.co/1SJXEzyvSh",Fri Oct 06 04:23:56 +0000 2023,0,1
73,Mwala kapkembu,The price of Unga (Maize flour) in Kenya dropped from Ksh 260-100. This is after the Government of Kenya subsidized the price of production of the commodity for a period of 4 weeks https://t.co/QXqSEDHNSz,Thu Feb 06 08:44:24 +0000 2025,0,0
74,Citizen TV Kenya,"Price of wheat flour, cooking gas increase as maize flour becomes cheaper in November https://t.co/30NLsaShJJ",Fri Dec 01 09:48:11 +0000 2023,47,410
75,Gideon Kitheka Snr,"Promise Made, Promise Delivered. 

Within two years of taking office, President William Ruto @WilliamsRuto has made significant progress in lowering the cost of living in Kenya. #2YearScoreCard

Through strategic interventions, the price of unga (maize flour), a staple food, has https://t.co/cRelvx1rzR",Tue Sep 10 06:52:34 +0000 2024,46,56
76,Collapse Aphorisms,"“The price of everything has gone up. I just make enough to buy a 2kg packet of maize flour. We even stopped eating bread for breakfast, opting instead for mandazi [cheap fried bread made in the slum].”

(Florencio Okonyo, Kenya) 

#collapse",Wed Sep 06 22:08:05 +0000 2023,2,9
77,"William Samoei Ruto, PhD","The Government is committed to put the shame of hunger behind us by supporting agricultural production. Today, a 2KG packet of maize flour is selling at between KSh145 and Ksh175 depending on the brand, down from Ksh250 while a Gorogoro of maize is retailing at an average of https://t.co/EVaHVKpF8v",Thu Nov 09 15:13:40 +0000 2023,274,2781
78,Kibet Benard,"We are almost June at the price of 2kg Unga today at ksh100 to Ksh 130
From 230 .
People were crying of unga .
Is president William Ruto policies failing or succeeding .
Kenya again end of this year will harvest alot of maize .
So far so good.",Wed May 29 03:34:39 +0000 2024,0,1
79,Kibet Benard,"Maize, wheat, and cassava flour are now zero-rated in KENYA the price of credit ad money transfer to fall",Fri Jul 28 12:53:30 +0000 2023,0,0
80,Citizen TV Kenya,"BREAKING

• The railway dev't levy on all imported maize stands suspended

• The import declaration fee on all imported maize is also hereby suspended

• Maize flour shall retail at Ksh. 100 down from Ksh. 205 for a 2kg packet until otherwise directed

- Directs Pres. Kenyatta https://t.co/HbnFBoulYZ",Wed Jul 20 13:43:28 +0000 2022,132,414
81,Taalamu News KE,"Kenya, which is a net importer of food, has slapped a two percent levy on import of cereals including maize, rice and wheat in what is set to raise the price of these commodities for consumers. https://t.co/0k8i6NV6ce",Thu May 30 09:13:00 +0000 2024,0,2
82,FootballClips,"Kenya’s food prices are on the decline, with maize, beans, and peas seeing significant price reductions. A 2kg packet of maize is now retailing at KSh124, down from KSh176 a year ago. #CabinetBrief Delivering The Plan https://t.co/1FzGNq6e9p",Thu Nov 14 17:33:43 +0000 2024,0,0
83,Citizen TV Kenya,"Price of wheat flour, cooking gas increase as maize flour becomes cheaper in November https://t.co/TbMjALUHby https://t.co/jPz2cD7C13",Fri Dec 01 21:00:19 +0000 2023,18,244
84,Crazy Pena,"One of President Ruto's key promises was to lower the cost of living. Since taking office, the price of a 2kg packet of maize flour dropped from Sh230 to Sh100, thanks to government intervention in subsidizing production. Kenya You AskedFor 
#ThePresidentListened https://t.co/BsLHvbB0z4",Mon Jul 01 10:25:47 +0000 2024,1,0
85,Gerald Ngao 🇰🇪,"The President's decisive action in cutting the price of maize flour from Ksh 260 to Ksh 100 has reshaped food affordability in Kenya. Millions now enjoy cheaper essentials, showcasing his visionary leadership.

#RutoTheOvercomer Tangible Impact You Can Feel https://t.co/j654xdjdxN",Mon Jan 20 05:30:29 +0000 2025,0,0
86,I ❤️ Kenya 🇰🇪,"The price of 2kg of maize flour (unga) has been reduced from Kshs. 230 to Kshs. 97 under Ruto, alleviating the cost of Kenya’s staple food. Promise Made
#RutoDelivers 
Promise Delivered https://t.co/wELD7SJYgr",Wed Sep 04 06:03:22 +0000 2024,0,0
87,MickeyKE™🇰🇪,"Under Ruto’s leadership, Kenya has 95M bags of maize &amp; food stocks, securing food stability. The fertilizer price drop from KSh7,500 to KSh2,500 has boosted production. KBB is ensuring no Kenyan goes hungry! #KaziBilaBreak https://t.co/fMk8lBxcDZ",Sun Feb 09 09:48:28 +0000 2025,0,0
88,WISH FM KENYA,"KENYA
Potato prices rise, Unga prices drops as Kenya records 6.8% Inflation rate in September.
This means that 1Kg packet of  maize flour decreased from Ksh.84 to Ksh.80 and the price of Irish potatoes rose from Ksh.80 (1kg) to Ksh.101.
Akothee
Antony Manyara
Kesh
#Cryptocurency https://t.co/cXn6PO6dIX",Mon Oct 02 10:36:58 +0000 2023,0,2
89,Bizna Kenya,Nairobi Flour Mills' owners have listed the company for sale with an asking price of Sh400 million. The company was processing Jimbi brands of wheat and maize. #Thread https://t.co/XfeVOsWRcy,Thu Feb 01 06:52:07 +0000 2024,2,1
90,Duke of Mbooni™🇰🇪,"Kenyan households are saving more on maize flour, with a 23.3% reduction in the price of a 2kg packet. The cost has dropped from Ksh.169.9 in 2022 to Ksh.130.38 in 2024, thanks to the Kenya Kwanza Government's focus on agriculture. #2YearsAchievements
Ruto Delivers https://t.co/5lqamwDtmq",Fri Sep 13 05:52:02 +0000 2024,0,0
91,Kibet Benard,The price of unga is extremely low in Kenya 2 kg of maize at KSh 80 in the village give it president William Ruto,Fri Sep 01 06:00:02 +0000 2023,0,1
92,Nation Africa,"The Price Control (Essential Goods) (Amendment) Bill, 2024 seeks to grant power to the Treasury CS to fix minimum and maximum retail and wholesale prices for maize, maize flour, wheat, wheat flour, rice, cooking oil, sugar, and certain pharmaceutical drugs
https://t.co/Lx3x858HBe",Sun Dec 29 21:30:02 +0000 2024,4,8
93,The Ordinary King,"The shortage of Maize has been the reason for increase in the price of UNGA. Thanks to CS Moses Kuria for he has issued a statement in the permit of over 500 trucks stuck at the border into Kenya from Yesterday night.  Kenya Tanzania Relations

#KenyaTZMaizeDeal https://t.co/nHakih9G7U",Sun Jun 11 09:31:15 +0000 2023,2,0
94,Moe,"Kenya's government plans to remove VAT exemption on essential goods like maize flour, cooking gas, bread, medicaments, and animal feeds. 

This is under pressure from the IMF to drop blanket reliefs on consumption, hence the price of essential goods may rise.",Thu Sep 14 02:36:12 +0000 2023,801,1883
95,TUKO.co.ke | The Heartbeat of Kenya,"The prices of basic commodities have dropped.

Between July and August 2023, the cost of maize grains reduced by 8.3%, while the price of potatoes dropped by 3.5%.

#tukonews #inflation 

https://t.co/819WQqNsc9",Fri Sep 01 06:16:52 +0000 2023,0,4
96,Africa Check,"We recently checked six claims made by #Kenya’s deputy president, Rigathi Gachagua, about the cost of living, including the price of fertiliser and maize flour. But which ones did Gachagua get right?
https://t.co/lv4GPtXIkS",Sat May 11 12:53:00 +0000 2024,0,1
97,TheStarKenya,"President William Ruto has said the government has put in measures to lower the cost of living.

The President said because of his government's efforts to distribute fertilisers to farmers, the price of maize has dropped.

Read More: https://t.co/7wN2NR93xr

#starkenyanews https://t.co/5inAAXQuZq",Thu Nov 09 14:21:46 +0000 2023,1,6
98,Amerix (Commentary),"The recent drop in the price of 2kg sugar and maize flour shows that Kenya’s economic recovery is taking root. As prices fall, the plan is working, making life easier for Kenyans. #RutoDelivers",Thu Nov 07 07:15:19 +0000 2024,0,0
99,TUKO.co.ke | The Heartbeat of Kenya,"""Tunaweza kukuwekea ukiangaika kutafuta soko,"" said William Ruto.

The president urged maize farmers to take advantage of the drying and storage services at NCPB.

He confirmed the government's buying price of KSh 4,000. #tukonews Read more 👇https://t.co/scoXv2Natn",Mon Oct 30 08:17:41 +0000 2023,1,8
100,Marcus Ryder,"@BLGBTQ Price of maize flour in Kenya has gone up but interestingly in this piece from May 2023 it never mentions the war in Ukraine. And this is because the vast majority of Kenya's maize is either produced domestically or comes from the East African Community.
https://t.co/e8yINWcNQV",Tue Jul 25 11:06:21 +0000 2023,0,4
101,Moe,"Kenya's plan to import 900,000 tonnes of maize by next month has got stuck because of high global price",Mon Jul 24 07:23:31 +0000 2023,155,710
102,@muok ratego,"You are trying to fool us that the price of maize will go down yet the price of fuel is still high,Kenya have very economy expert don't fool us instead go and fool Jericho residents",Sat Jul 22 22:31:54 +0000 2023,1,1
