,level_0,index,Wholesale,Retail,Supply Volume,latitude,longitude,Markup %,Month,Wholesale_log,Retail_log,Supply_Volume_log,Markup_log,Commodity_Beans Red Haricot (Wairimu),Commodity_Cabbages,Commodity_Cow Milk(Processd),Commodity_Cowpea leaves (Kunde),Commodity_Cowpeas,Commodity_Dry Maize,Commodity_Dry Onions,Commodity_Finger Millet,Commodity_Kales/Sukuma Wiki,Commodity_Maize Flour,Commodity_Meat Beef,Commodity_Omena,Commodity_Red Irish potato,Commodity_Red Sorghum,Commodity_Rice,Commodity_Spinach,Commodity_Wheat,"Category_meat, fish and eggs",Category_milk and dairy,Category_pulses and nuts,Category_vegetables and fruits
Markup_log,-0.031087914630920258,-0.02717108206441827,-0.2537285356620802,-0.009028378743097497,-0.03225684384387833,-0.04006335081261947,0.03529794019596857,0.7989136837380159,0.014508360853997208,-0.386944134505122,-0.03860045004164233,-0.04933514754160553,1.0,-0.04203968987025088,0.09071146463730112,-0.06279872741283644,0.08202147526535765,-0.05242036162550396,-0.12171460083467127,0.006243134557402489,-0.07322373608368243,0.2315279817206178,-0.08831899307649599,-0.05446118351328719,-0.028359937904215687,0.00245057234328501,-0.0145352882087814,-0.07249934444038349,0.13074414870685083,-0.01765318418811478,-0.056598567517363835,-0.06279872741283644,-0.11204445790773022,0.29859188503998163
Commodity_Beans Red Haricot (Wairimu),0.14344147640654348,0.15148797431523814,0.006014871190982272,-0.0016252577521538084,-0.03885172447090794,0.03566842531210365,-0.028738590517303063,-0.03266224659965424,-0.008650713922839016,0.06738476235599616,0.05551112864794989,-0.05277951780765858,-0.04203968987025088,1.0,-0.05612294968718517,-0.02096399567344735,-0.032477619257070676,-0.035345699574067115,-0.05613194857634246,-0.055967594115135966,-0.037643209699538695,-0.051106570268823655,-0.022748761555343958,-0.024557976870690418,-0.03242771704124277,-0.045477642818645615,-0.01941892792063935,-0.03371800420554314,-0.04218431563579027,-0.019960092678530206,-0.041325555432111506,-0.02096399567344735,0.37702329043033767,-0.1363638153739697
Commodity_Cabbages,-0.521185918076029,-0.5245571100969275,-0.2200727080146998,-0.21446740863917868,0.12075861920532407,-0.04057027902031499,0.04084258114325778,0.030312258675396175,-0.0010183636242214013,-0.3824179340805359,-0.38268210875079756,0.2035532555599886,0.09071146463730112,-0.05612294968718517,1.0,-0.04765485645309631,-0.07382735179628909,-0.08034700377090452,-0.12759781071889167,-0.1272242040646891,-0.08556964915564216,-0.1161742402509178,-0.05171194381538192,-0.05582460904804851,-0.07371391526592284,-0.10337869622295641,-0.04414264517836774,-0.07664696536572665,-0.0958923831847766,-0.0453728080374323,-0.09394026991056975,-0.04765485645309631,-0.1488580443483419,0.41156775742268475
Commodity_Cow Milk(Processd),0.09536741472728234,0.1016609931849278,0.03692818315146597,0.022952526913943713,-0.015150476051547316,0.048473029458831626,-0.05903956010883854,-0.04024179213937212,0.0050688814923538945,0.09300208395464685,0.07620991496174488,-0.04753930524924926,-0.06279872741283644,-0.02096399567344735,-0.04765485645309631,1.0,-0.027577244109042998,-0.03001257504868624,-0.04766249754768397,-0.04752294165672842,-0.03196342609702447,-0.04339537183202281,-0.019316321976113614,-0.020852554419862536,-0.027534871372942492,-0.03861576329170403,-0.0164889092196541,-0.028630473972904424,-0.03581934872282665,-0.016948420506904344,-0.03509016227656812,1.0,-0.055603980458378964,-0.11578860489857187
Commodity_Cowpea leaves (Kunde),-0.2461019904209215,-0.23466360985773022,-0.09944836862363698,-0.08940325763322053,-0.08278580315476243,-0.0337665346539382,0.006438034270555952,0.04004506193132616,0.002730328909788347,-0.13017790924124548,-0.11062667622060468,-0.19041799668644274,0.08202147526535765,-0.032477619257070676,-0.07382735179628909,-0.027577244109042998,1.0,-0.04649576352396495,-0.0738391894520674,-0.07362298815313892,-0.04951804031533945,-0.0672285181616281,-0.0299250276694782,-0.03230497341887074,-0.04265728168790054,-0.0598239036608362,-0.02554477323622099,-0.04435459953948027,-0.05549167191106421,-0.026256652443913283,-0.054362009411102585,-0.027577244109042998,-0.0861422094640773,0.23816889523043278
Commodity_Cowpeas,-0.23256190937488072,-0.22990361368038054,0.062319895382564494,0.05596105498653343,-0.0703965856219021,0.0034749133302696116,0.03518225903538198,-0.03917829221992278,-6.124031667487249e-05,0.1500865410027207,0.14068061930896952,-0.099307162298629,-0.05242036162550396,-0.035345699574067115,-0.08034700377090452,-0.03001257504868624,-0.04649576352396495,1.0,-0.08035988680384414,-0.08012459288951357,-0.053890950645828856,-0.0731654308450159,-0.03256769005668139,-0.03515780747900551,-0.04642432227702932,-0.0651069189953221,-0.027800617814538273,-0.048271529314946486,-0.06039211029300896,-0.028575362675304736,-0.059162687931974454,-0.03001257504868624,0.539755873610952,-0.19522181298740082
Commodity_Dry Maize,-0.1269353819746566,-0.1466882440604548,-0.1320552525765105,-0.15011836544343254,0.17671009551800992,0.05546114294978343,-0.046838858134069995,-0.08241895925088556,-0.001067489876434014,-0.09862179347584646,-0.1540211809539697,0.215780828529298,-0.12171460083467127,-0.05613194857634246,-0.12759781071889167,-0.04766249754768397,-0.0738391894520674,-0.08035988680384414,1.0,-0.12724460350101824,-0.08558336959918242,-0.11619286790905428,-0.0517202354328657,-0.05583356010088597,-0.07372573473308348,-0.10339527221301324,-0.04414972311655342,-0.07665925512481037,-0.09590775880064183,-0.045380083222825114,-0.09395533251991606,-0.04766249754768397,-0.14888191260657269,-0.3100286852344755
Commodity_Dry Onions,-0.2676605980335028,-0.2708722450513794,-0.02070384887444828,-0.010567382784438206,0.017743986687423847,-0.04279636830730322,0.051973818314973136,-0.007654615598228638,0.0031698884815077317,0.07452825387125801,0.08270498590912212,0.09558420082489019,0.006243134557402489,-0.055967594115135966,-0.1272242040646891,-0.04752294165672842,-0.07362298815313892,-0.08012459288951357,-0.12724460350101824,1.0,-0.0853327813169168,-0.11585265495163699,-0.05156879847718849,-0.055670079321174626,-0.07350986562944035,-0.10309253064245065,-0.044020452636165254,-0.07643479666788994,-0.09562694068510232,-0.04524721024556674,-0.09368023111298715,-0.04752294165672842,-0.14844598605918433,0.4104284847235588
Commodity_Finger Millet,-0.014464017317385005,-0.031175174309128417,0.056317807527469184,0.04394873216776985,-0.07281776751831519,0.06117093180637327,-0.05656689506141501,-0.04454829675441671,-0.001147148395127959,0.15564433289205748,0.13977366282810255,-0.10627592512790766,-0.07322373608368243,-0.037643209699538695,-0.08556964915564216,-0.03196342609702447,-0.04951804031533945,-0.053890950645828856,-0.08558336959918242,-0.0853327813169168,1.0,-0.07792126593179777,-0.034684626447048,-0.03744310440755744,-0.04944195530710086,-0.06933894177137817,-0.029607689161034467,-0.051409232874720885,-0.06431766521410912,-0.030432793306971868,-0.06300832902035824,-0.03196342609702447,-0.09984319445267449,-0.20791144984575513
Commodity_Kales/Sukuma Wiki,0.088882325065738,0.09853968151532962,-0.19346565492173567,-0.16680319202767863,-0.06428801557715642,-0.059056478574392605,0.06342036587838845,0.17405994510969394,-0.0055333589268792074,-0.31212440889247306,-0.24602550425032496,-0.0765368048997687,0.2315279817206178,-0.051106570268823655,-0.1161742402509178,-0.04339537183202281,-0.0672285181616281,-0.0731654308450159,-0.11619286790905428,-0.11585265495163699,-0.07792126593179777,1.0,-0.04708982876113495,-0.05083489590154181,-0.06712522081155257,-0.09413850541166635,-0.040197088895624185,-0.0697961091350693,-0.08732133372887496,-0.041317297383454535,-0.08554370417124076,-0.04339537183202281,-0.13555282012065228,0.3747810233127655
